Donaldson_Code,Description,OEM_Codes,Cross_Reference_Codes,Alternative_Donaldson_Codes,Outer_Diameter,Inner_Diameter,Length,Filter_Type,Filter_Family,Product_URL
P150695,"FILTRO DE AIRE, PRIMARIO KONEPAC",3I0405 | 01402464,A1140C | 94882 | 94882,DBA5047,10.62 Pulgadas (269.8 MM),6.61 Pulgadas (167.8 MM),28.02 Pulgadas (711.7 MM),Primario,ECG,https://shop.donaldson.com/store/es-us/product/P150695/15683
DBA5047,"FILTRO DE AIRE, PRIMARIO KONEPAC DONALDSON BLUE",25042054 | PAC5047,,P150695,10.62 Pulgadas (269.8 MM),6.61 Pulgadas (167.8 MM),28.02 Pulgadas (711.7 MM),Primario,,https://shop.donaldson.com/store/es-us/product/DBA5047/11843
